Digital,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sample Rate,2 min,2 min,2 min,2 min,2 min,2 min,2 min,2 min,2 min,2 min,2 min,2 min,2 min,2 min,2 min,2 min,2 min,2 min,2 min,2 min,2 min,2 min,2 min,2 min,2 min,2 min,2 min,2 min,2 min,2 min,2 min,2 min,2 min,2 min,2 min,2 min,2 min,2 min,2 min,2 min,2 min,2 min,2 min,2 min,2 min,2 min,2 min,2 min,2 min,2 min,2 min,2 min,2 min,2 min,2 min,2 min,2 min,2 min,2 min,2 min,2 min,2 min,2 min,2 min,2 min,2 min,2 min,2 min,2 min,2 min,2 min,2 min,2 min,2 min,2 min,2 min,2 min,2 min,2 min,2 min,2 min,2 min,2 min,2 min,2 min,2 min,2 min,2 min,2 min,2 min,2 min,2 min,2 min,2 min,2 min,2 min,2 min,2 min,2 min,2 min,2 min,2 min,2 min,2 min,2 min,2 min,2 min,2 min,2 min,2 min,2 min,2 min,2 min,2 min,2 min,2 min,2 min,2 min,2 min,2 min,2 min,2 min,2 min,2 min,2 min,2 min,2 min,2 min,2 min,2 min,2 min,2 min,2 min,2 min,2 min,2 min,2 min,2 min,2 min,2 min,2 min,2 min,2 min,2 min,2 min,2 min,2 min,2 min,2 min,2 min,2 min,2 min,2 min,2 min,2 min,2 min,2 min,2 min,2 min,2 min,2 min,2 min,2 min,2 min,2 min,2 min,2 min,2 min,2 min,2 min
 03:28:00  09/08/2019,5.33,70.44,67.37,1,67.54,36,25.11,-4.00,-28.33,2,55,55,31.94,3.50,76.83,-29.00,33.71,9,16.17,18.94,29.72,36,23.06,9,0.00,1,62.44,42.89,55.50,1,65.00,25.11,28.30,25.22,4,0,0,3837,3836,13.71,98852,0,50011,26570,0,0,-4.00,9,3836,1,1,0,0,0,35.99,2.89,2.39,65.00,0,25,-4.00,25,5.67,1.67,70.83,67.43,-3.78,1,35.52,29.77,-0.61,9.30,38.90,5.90,444,13.90,8.60,15.10,15.80,124.30,88.70,46.00,1882,156,220.40,14.10,98,14457,371.30,11.40,1.00,1.00,0,-0.44,33.13,244.90,9637,134,15.20,134,3698,14487,164,98,0,4838,156,16.20,366.30,1645,67,5.80,437,11.50,164,67,8588,19.22,10.00,36.11,0,22.22,2.89,0,10.00,22.11,0,19.28,0,36.11,2.78,20.00,0,0,0.00,25.00,19.11,0.00,22.00,36.60,2.78,10.00,20.00,1,18.78,12.11,6.30,12,16.89,2.78,6.80,21.72,36.60,1,0.00,20.00,2,3.60,30.20,15.40,-3.20,4.40,7.00,17.10,231.40,233.10,232.10,19.70,31.50,17.50
 03:30:00  09/08/2019,5.33,70.72,67.37,1,67.07,40,25.56,-4.28,-29.22,2,53,53,32.61,3.50,78.06,-29.00,33.71,9,16.17,18.94,29.72,40,23.06,9,0.00,1,62.83,42.89,55.50,1,65.00,25.56,25.40,25.22,4,0,0,3837,3836,13.32,98852,0,50011,26570,0,0,-4.00,9,3836,1,1,0,0,0,35.51,2.39,2.39,65.00,0,24,-4.00,24,5.67,1.67,71.17,66.90,-4.28,1,35.52,29.52,-0.61,9.30,38.90,5.90,444,13.90,8.60,15.10,15.80,123.80,88.70,46.00,1882,156,220.40,14.10,98,14457,370.60,11.40,1.00,1.00,0,-0.44,33.13,244.40,9637,134,15.20,134,3698,14487,164,98,0,4838,156,16.20,365.50,1645,67,5.80,437,11.50,164,67,8588,19.50,10.00,35.71,0,22.22,2.39,0,10.00,22.11,0,19.78,0,35.62,2.28,20.00,0,0,0.00,25.00,19.50,0.00,22.00,36.10,2.28,10.00,20.00,1,19.22,11.78,6.30,12,16.89,2.28,13.70,21.72,36.10,1,0.00,20.00,2,3.60,30.20,15.40,-3.20,4.40,7.00,17.10,231.40,233.10,232.10,19.70,31.50,17.50
 03:32:00  09/08/2019,5.33,70.72,67.37,1,67.38,42,25.56,-4.28,-29.56,2,51,51,32.61,3.06,78.83,-29.00,33.71,8,16.44,18.94,29.72,42,23.06,9,0.00,1,63.22,42.89,56.00,1,65.00,25.56,26.60,25.22,4,0,0,3837,3836,13.18,98852,0,50011,26570,0,0,-4.00,8,3836,1,1,0,0,0,35.51,2.39,2.39,65.00,0,23,-4.00,23,5.22,1.00,71.17,67.24,-4.28,1,35.52,29.56,-0.61,9.30,38.40,5.90,444,13.90,8.60,15.10,15.80,123.80,88.00,46.00,1882,156,219.70,14.10,98,14457,369.80,11.40,1.00,1.00,0,-0.44,33.13,243.90,9637,134,15.20,134,3698,14487,164,98,0,4838,156,16.20,364.80,1645,67,5.80,437,11.50,164,67,8588,19.50,10.00,35.71,0,21.89,2.39,0,10.00,22.11,0,19.78,0,35.71,2.28,20.00,0,0,0.00,25.00,19.50,0.00,22.00,36.10,2.28,10.00,20.00,1,19.22,11.78,5.80,12,16.89,2.28,19.50,21.72,36.10,1,0.00,20.00,2,3.60,30.20,13.60,-3.20,3.90,6.30,17.10,231.40,233.10,232.10,17.90,27.60,14.60
 03:34:00  09/08/2019,5.33,71.00,67.37,1,67.20,37,24.94,-4.28,-29.56,2,49,50,32.61,3.06,79.44,-29.00,33.71,10,15.61,18.39,29.72,37,23.06,9,0.00,1,63.50,42.61,55.50,1,65.00,24.94,28.20,25.22,4,0,0,3837,3836,13.12,98852,0,50011,26570,0,0,-4.00,10,3836,1,1,0,0,0,36.09,2.83,2.39,65.00,0,23,-4.00,23,5.22,1.00,71.44,67.12,-4.28,1,35.52,29.51,-0.61,9.30,38.40,5.90,444,13.90,8.60,15.10,15.80,123.80,88.00,46.00,1882,156,219.70,14.10,98,14457,369.00,11.40,1.00,1.00,0,-0.44,33.13,243.40,9637,134,15.20,134,3698,14487,164,98,0,4838,156,16.20,364.00,1645,67,5.80,437,11.50,164,67,8588,19.00,10.00,36.31,0,21.89,3.00,0,10.00,22.11,0,19.11,0,36.21,2.89,20.00,0,0,0.00,25.00,18.78,0.00,22.00,36.80,3.00,10.00,20.00,1,18.89,11.78,5.80,12,16.61,3.11,22.60,22.00,36.80,1,0.00,20.00,2,3.60,30.20,13.60,-3.20,3.90,6.30,17.10,231.40,233.10,232.10,17.90,27.60,14.60
 03:36:00  09/08/2019,5.33,71.00,67.37,1,67.20,37,24.94,-4.28,-29.56,2,49,50,32.61,3.06,79.44,-29.00,33.71,10,15.61,18.39,29.72,37,23.06,9,0.00,1,63.50,42.61,55.50,1,65.00,24.94,28.20,25.22,4,0,0,3837,3836,13.12,98852,0,50011,26570,0,0,-4.00,10,3836,1,1,0,0,0,36.09,2.83,2.39,65.00,0,23,-4.00,23,5.22,1.00,71.44,67.12,-4.28,1,35.52,29.51,-0.61,9.30,38.40,5.90,444,13.90,8.60,15.10,15.80,123.80,88.00,46.00,1882,156,219.70,14.10,98,14457,369.00,11.40,1.00,1.00,0,-0.44,33.13,243.40,9637,134,15.20,134,3698,14487,164,98,0,4838,156,16.20,364.00,1645,67,5.80,437,11.50,164,67,8588,19.00,10.00,36.31,0,21.89,3.00,0,10.00,22.11,0,19.11,0,36.21,2.89,20.00,0,0,0.00,25.00,18.78,0.00,22.00,36.80,3.00,10.00,20.00,1,18.89,11.78,5.80,12,16.61,3.11,22.60,22.00,36.80,1,0.00,20.00,2,3.60,30.20,13.60,-3.20,3.90,6.30,17.10,231.40,233.10,232.10,17.90,27.60,14.60
 03:38:00  09/08/2019,5.33,71.00,67.37,1,67.65,38,25.28,-4.00,-29.56,2,48,50,32.61,3.33,79.44,-29.00,33.71,11,14.94,17.78,29.72,38,23.06,9,0.00,1,63.50,42.61,55.50,1,65.00,25.28,32.30,25.22,4,0,0,3837,3836,13.20,98852,0,50011,26570,0,0,-4.00,12,3836,1,0,0,0,0,36.09,2.83,2.39,65.00,0,23,-4.00,23,5.22,1.00,71.44,67.52,-4.00,1,35.52,29.75,-0.61,9.30,38.40,5.90,444,13.90,8.60,15.10,15.80,123.30,88.00,46.00,1882,156,218.90,14.10,98,14457,368.20,10.90,1.00,1.00,0,-0.44,33.18,242.90,9637,134,15.20,134,3698,14487,164,98,0,4838,156,16.20,363.20,1645,67,5.80,437,11.50,164,67,8588,19.00,10.00,36.31,0,21.89,3.00,0,10.00,22.11,0,19.11,0,36.21,2.89,20.00,0,0,0.00,25.00,18.78,0.00,22.00,36.80,3.00,10.00,20.00,1,18.89,11.50,5.80,12,16.61,3.11,28.00,22.00,36.80,1,0.00,20.00,2,3.60,30.20,13.60,-3.20,3.90,6.30,17.10,231.40,233.10,232.10,17.90,27.60,14.60
 03:40:00  09/08/2019,5.33,71.00,67.37,1,67.37,39,25.28,-4.00,-30.17,2,43,50,33.67,3.33,80.11,-29.00,33.71,11,14.06,17.44,29.72,39,23.06,9,0.00,1,63.50,42.61,55.50,1,65.00,25.28,31.60,25.22,4,0,0,3837,3836,12.86,98852,0,50011,26570,0,0,-4.00,16,3836,1,0,0,0,0,36.56,3.39,2.39,65.00,0,24,-4.00,24,5.83,2.06,71.17,67.26,-4.00,1,35.52,29.92,-0.61,9.30,38.40,5.90,444,13.90,8.60,15.10,15.80,123.30,87.40,46.00,1882,156,218.90,14.10,98,14457,367.40,10.90,1.00,1.00,0,-0.44,33.18,242.40,9637,134,15.20,134,3698,14487,164,98,0,4838,156,16.20,362.40,1645,67,5.80,437,11.50,164,67,8588,18.61,10.00,36.70,0,21.89,3.50,0,10.00,22.11,0,18.72,0,36.70,3.39,20.00,0,0,0.00,25.00,18.50,0.00,22.00,36.80,3.39,10.00,20.00,1,18.28,11.50,5.80,12,16.61,3.50,30.00,22.00,37.30,1,0.00,20.00,2,3.60,30.20,13.60,-3.20,3.90,6.30,17.10,231.40,233.10,232.10,17.90,27.60,14.60
 03:42:00  09/08/2019,5.33,70.33,67.33,1,67.48,39,25.28,-3.50,-30.17,2,37,50,34.11,3.78,81.22,-29.00,33.71,11,13.33,17.44,29.72,39,23.06,9,0.00,1,63.50,42.61,55.50,1,65.00,25.28,32.80,25.22,4,0,0,3837,3836,12.76,98852,0,50011,26570,0,0,-4.00,23,3836,1,0,0,0,0,37.09,3.94,2.39,65.00,0,26,-4.00,26,5.83,2.39,70.61,67.41,-3.50,1,35.52,30.20,-0.61,9.30,38.40,5.90,444,13.90,8.60,15.10,15.80,123.30,87.40,45.50,1882,156,218.20,14.10,98,14457,366.60,10.90,1.00,1.00,0,-0.44,33.18,241.90,9637,134,15.20,134,3698,14487,164,98,0,4838,156,15.70,361.60,1645,67,5.80,437,11.50,164,67,8588,18.11,10.00,37.29,0,22.22,4.00,0,10.00,22.11,0,18.22,0,37.20,4.00,20.00,0,0,0.00,25.00,18.00,0.00,22.00,37.80,4.00,10.00,20.00,1,17.61,11.50,5.80,12,16.28,4.11,31.20,22.00,37.80,1,0.00,20.00,2,3.00,30.20,15.20,-3.20,7.40,5.20,15.00,231.40,233.10,233.40,32.50,22.80,13.60
 03:44:00  09/08/2019,5.33,69.94,67.24,1,67.73,36,24.83,-3.50,-29.78,2,34,50,34.11,4.17,82.22,-29.00,33.71,31,14.00,16.67,29.72,36,23.06,9,0.00,1,63.50,42.28,55.50,1,65.00,24.94,38.40,25.22,4,0,0,3837,3836,13.06,98852,0,50011,26570,0,0,-4.00,27,3836,1,1,0,0,0,35.86,2.83,2.39,65.00,0,27,-4.00,27,4.72,1.17,70.00,68.30,-3.50,1,35.52,30.16,-0.61,9.30,38.40,5.90,444,13.90,8.60,15.10,15.80,122.80,87.40,45.50,1882,156,218.20,14.10,98,14457,365.80,10.90,1.00,1.00,0,-0.44,33.21,241.40,9637,134,15.20,134,3698,14487,164,98,0,4838,156,15.70,360.80,1645,67,5.80,437,11.00,164,67,8588,19.28,10.00,35.91,0,21.89,2.61,0,10.00,22.11,0,19.61,0,35.82,2.61,20.00,0,0,0.00,25.00,19.11,0.00,22.00,36.50,2.72,10.00,20.00,1,18.61,11.50,5.80,12,16.28,2.78,38.60,21.61,36.60,1,0.00,20.00,2,3.00,30.20,15.20,-3.20,7.40,5.20,15.00,231.40,233.10,233.40,32.50,22.80,13.60
 03:46:00  09/08/2019,5.33,71.50,66.98,1,67.12,48,26.00,-3.50,-30.11,2,32,50,33.72,3.56,82.22,-29.00,33.71,31,14.00,15.00,29.72,48,22.78,9,0.00,1,64.22,42.28,55.50,1,65.00,25.94,34.60,25.22,4,0,0,3837,3836,12.86,98852,0,50011,26570,0,0,-4.00,21,3836,1,0,0,0,0,34.29,1.17,2.39,65.00,0,28,-4.00,28,3.94,0.28,71.72,67.56,-3.50,1,35.52,30.10,-0.61,9.30,38.40,5.90,444,13.90,8.60,15.10,15.80,122.80,86.80,45.50,1882,156,217.40,14.10,98,14457,365.00,10.90,1.00,1.00,0,-0.44,33.21,240.90,9637,134,15.20,134,3698,14487,164,98,0,4838,156,15.70,360.00,1645,67,5.80,437,11.00,164,67,8588,19.28,10.00,35.91,0,21.89,2.61,0,10.00,22.11,0,19.61,0,35.82,2.61,20.00,0,0,0.00,25.00,19.11,0.00,22.00,36.50,2.72,10.00,20.00,1,18.61,11.50,5.80,12,16.28,2.78,38.60,21.61,36.60,1,0.00,20.00,2,3.00,30.20,15.20,-3.20,7.40,5.20,15.00,231.40,233.10,233.40,32.50,22.80,13.60
 03:48:00  09/08/2019,5.33,71.50,66.98,1,67.12,48,26.00,-3.50,-30.11,2,32,50,33.72,3.56,82.22,-29.00,33.71,31,14.00,15.00,29.72,48,22.78,9,0.00,1,64.22,42.28,55.50,1,65.00,25.94,34.60,25.22,4,0,0,3837,3836,12.86,98852,0,50011,26570,0,0,-4.00,21,3836,1,0,0,0,0,34.29,1.17,2.39,65.00,0,28,-4.00,28,3.94,0.28,71.72,67.56,-3.50,1,35.52,30.10,-0.61,9.30,38.40,5.90,444,13.90,8.60,15.10,15.80,122.80,86.80,45.50,1882,156,217.40,14.10,98,14457,365.00,10.90,1.00,1.00,0,-0.44,33.21,240.90,9637,134,15.20,134,3698,14487,164,98,0,4838,156,15.70,360.00,1645,67,5.80,437,11.00,164,67,8588,20.78,10.00,34.33,0,21.89,1.00,0,10.00,22.11,0,21.00,0,34.33,0.89,20.00,0,0,0.00,25.00,20.50,0.00,21.72,34.90,1.11,10.00,20.00,1,19.00,11.50,5.80,12,16.28,1.50,48.20,20.61,35.30,1,0.00,20.00,2,3.00,30.20,15.20,-3.20,7.40,5.20,15.00,231.40,233.10,233.40,32.50,22.80,13.60
 03:50:00  09/08/2019,5.33,71.83,66.71,1,66.79,47,25.44,-4.22,-27.56,3,42,32,30.56,3.00,83.33,-29.00,33.71,31,12.94,13.56,29.72,47,22.78,9,0.00,1,64.78,42.28,55.50,1,65.00,25.44,32.60,24.94,4,0,0,3837,3836,14.21,98852,0,50011,26570,0,0,-4.00,13,3836,1,0,0,0,0,33.93,0.72,2.39,65.00,0,26,-4.00,26,2.89,-1.39,72.17,67.20,-4.22,1,35.52,29.57,-0.61,9.30,38.40,5.90,444,13.90,8.10,15.10,15.80,122.80,86.80,45.50,1882,156,217.40,13.60,98,14457,364.20,10.90,1.00,1.00,0,-0.44,33.21,240.40,9637,134,15.20,134,3698,14487,164,98,0,4838,156,15.70,359.20,1645,67,5.80,437,11.00,164,67,8588,20.78,10.00,33.94,0,21.89,0.61,0,10.00,21.78,0,21.00,0,33.94,0.50,20.00,0,0,0.00,25.00,20.50,0.00,21.72,34.90,0.78,10.00,20.00,1,18.22,11.50,5.80,12,16.28,1.50,52.10,19.72,35.30,1,0.00,20.00,2,3.00,30.20,15.20,-3.20,7.40,5.20,15.00,231.40,233.10,233.40,32.50,22.80,13.60
 03:52:00  09/08/2019,5.33,69.00,66.37,1,65.44,50,25.44,-3.56,-28.56,2,46,50,31.11,2.50,78.22,-29.00,33.71,11,9.72,13.56,29.72,50,22.44,9,0.00,1,64.78,41.94,54.78,1,65.00,25.44,15.30,24.94,4,0,0,3837,3836,13.65,98852,0,50011,26570,0,0,-4.00,21,3836,1,0,0,0,0,36.95,3.78,2.39,65.00,0,28,-4.00,28,4.11,0.67,69.61,65.38,-3.61,1,35.52,30.14,-0.61,9.30,38.40,5.90,444,13.90,8.10,15.10,15.80,122.30,86.80,45.50,1882,156,216.70,13.60,98,14457,363.40,10.90,1.00,1.00,0,-0.44,33.21,239.90,9637,134,15.20,134,3698,14487,164,98,0,4838,156,15.70,358.50,1645,67,5.80,437,11.00,164,67,8588,18.11,10.00,37.10,0,21.89,3.89,0,10.00,21.78,0,18.00,0,37.10,3.78,20.00,0,0,0.00,25.00,18.00,0.00,22.00,37.60,3.89,10.00,20.00,1,15.78,11.50,5.80,12,16.61,4.11,41.60,20.00,37.80,1,0.00,20.00,2,2.20,30.20,12.50,-3.20,6.10,4.00,15.60,230.70,233.10,233.40,26.90,18.00,10.60
 03:54:00  09/08/2019,5.33,69.00,66.02,1,68.62,40,23.67,-3.11,-28.56,2,47,50,31.50,3.06,78.22,-29.00,33.71,31,10.22,13.56,32.50,40,22.44,9,0.00,1,63.33,41.94,54.78,1,65.00,23.94,41.50,24.61,4,0,0,3837,3836,13.60,98852,0,50011,26570,0,0,-4.00,28,3836,1,1,0,0,0,36.18,3.17,2.39,65.00,0,32,-4.00,29,4.94,1.78,68.11,69.28,-3.11,1,35.52,30.50,-0.61,9.30,38.40,5.90,444,13.90,8.10,15.10,15.80,122.30,86.20,45.50,1882,156,216.70,13.60,98,14457,362.70,10.90,1.00,1.00,0,-0.44,33.21,239.40,9637,134,15.20,134,3698,14487,164,98,0,4838,156,15.70,357.70,1645,67,5.80,437,11.00,164,67,8588,18.78,10.00,36.21,0,21.89,3.00,0,10.00,21.78,0,18.89,0,36.21,2.89,20.00,0,0,0.00,25.00,18.72,0.00,22.00,36.90,3.11,10.00,20.00,1,16.78,11.78,5.80,12,16.61,3.39,43.10,20.28,37.10,1,0.00,20.00,2,2.20,30.20,12.50,-3.20,6.10,4.00,15.60,230.70,233.10,233.40,26.90,18.00,10.60
 03:56:00  09/08/2019,5.33,69.00,65.63,1,65.04,50,25.28,-3.72,-29.50,2,43,50,32.83,3.33,81.17,-29.00,33.71,31,11.56,13.83,32.17,50,22.11,9,0.00,1,63.33,41.94,54.78,1,65.00,25.11,31.70,24.61,4,0,0,3837,3836,13.18,98852,0,50011,26570,0,0,-4.00,26,3836,1,1,0,0,0,35.29,2.22,2.39,65.00,0,32,-4.00,29,4.06,0.33,69.44,65.66,-3.67,1,35.52,30.01,-0.61,9.30,38.40,5.90,444,13.90,8.10,15.10,15.80,122.30,86.20,45.50,1882,156,216.00,13.60,98,14457,362.00,10.90,1.00,1.00,0,-0.44,33.21,239.40,9637,134,15.20,134,3698,14487,164,98,0,4838,156,15.70,357.00,1645,67,5.80,437,11.00,164,67,8588,19.39,10.00,35.32,0,21.50,2.00,0,10.00,21.78,0,19.61,0,35.22,1.89,20.00,0,0,0.00,25.00,18.72,0.00,22.00,36.90,3.11,10.00,20.00,1,16.78,11.78,5.80,12,16.61,3.39,43.10,20.28,37.10,1,0.00,20.00,2,2.20,30.20,12.50,-3.20,6.10,4.00,15.60,230.70,233.10,233.40,26.90,18.00,10.60
 03:58:00  09/08/2019,5.33,69.00,65.63,1,65.04,50,25.28,-3.72,-29.50,2,43,50,32.83,3.33,81.17,-29.00,33.71,31,11.56,13.83,32.17,50,22.11,9,0.00,1,63.33,41.94,54.78,1,65.00,25.11,31.70,24.61,4,0,0,3837,3836,13.18,98852,0,50011,26570,0,0,-4.00,26,3836,1,1,0,0,0,35.29,2.22,2.39,65.00,0,32,-4.00,29,4.06,0.33,69.44,65.66,-3.67,1,35.52,30.01,-0.61,9.30,38.40,5.90,444,13.90,8.10,15.10,15.80,122.30,86.20,45.00,1882,156,216.00,13.60,98,14457,362.00,10.90,1.00,1.00,0,-0.44,33.21,239.40,9637,134,15.20,134,3698,14487,164,98,0,4838,156,15.70,357.00,1645,67,5.80,437,11.00,164,67,8588,19.39,10.00,35.32,0,21.50,2.00,0,10.00,21.78,0,19.61,0,35.22,1.89,20.00,0,0,0.00,25.00,19.50,0.00,21.72,35.90,2.11,10.00,20.00,1,17.22,11.78,5.80,12,17.00,2.39,45.60,19.72,36.20,1,0.00,20.00,2,2.20,30.20,12.50,-3.20,6.10,4.00,15.60,230.70,233.10,233.40,26.90,18.00,10.60
 04:00:00  09/08/2019,2.39,69.00,65.27,1,63.35,52,24.78,-4.22,-28.61,2,47,50,31.44,2.72,81.83,-29.00,33.71,0,13.33,13.06,32.17,52,21.78,2,1.30,1,63.33,41.67,55.33,1,65.00,25.11,22.80,24.22,4,0,0,3837,3836,13.61,98852,0,50011,26570,0,0,-4.00,0,3836,1,1,0,0,0,33.29,-0.17,2.39,65.00,0,31,-4.00,29,4.06,-0.11,68.94,63.09,-4.11,1,35.52,29.57,-0.61,9.30,38.40,5.90,444,13.90,8.10,15.10,15.80,122.30,86.20,45.00,1882,156,216.00,13.60,98,14457,362.00,10.90,1.00,1.00,0,-0.44,32.81,238.80,9637,134,15.20,134,3698,14487,164,98,0,4838,156,15.70,357.00,1645,67,5.80,437,11.00,164,67,8588,21.00,10.00,33.54,0,21.11,0.00,0,10.00,21.28,0,21.28,0,33.45,0.00,20.00,0,0,0.00,25.00,21.11,0.00,21.22,34.00,0.00,10.00,20.00,1,19.50,20.00,10.00,1,17.00,0.11,0.00,19.72,34.00,0,0.00,20.00,1,2.20,30.20,12.50,-3.20,6.10,4.00,15.60,230.70,233.10,233.40,26.90,18.00,10.60
 04:02:00  09/08/2019,2.39,67.39,64.90,1,66.71,52,24.33,-4.83,-28.61,2,47,50,30.61,1.72,80.83,-29.00,33.71,0,12.39,13.06,32.17,52,21.50,2,0.00,1,62.83,41.67,54.94,1,65.00,24.33,28.20,24.22,4,0,0,3837,3836,13.55,98852,0,50011,26570,0,0,-4.00,0,3836,1,0,0,0,0,33.95,0.61,2.39,65.00,0,27,-4.00,27,4.78,-0.11,67.11,66.38,-4.89,1,35.52,29.07,-0.61,9.30,37.90,5.90,444,13.90,8.10,15.10,15.80,121.80,86.20,45.00,1882,156,216.00,13.60,98,14457,362.00,10.90,1.00,1.00,0,-0.44,32.85,238.80,9637,134,15.20,134,3698,14487,164,98,0,4838,156,15.70,357.00,1645,67,5.80,437,11.00,164,67,8588,20.28,10.00,34.14,0,21.11,0.78,0,10.00,21.28,0,20.39,0,34.14,0.72,20.00,0,0,0.00,25.00,20.50,0.00,21.22,34.60,0.78,10.00,20.00,1,18.72,20.00,10.00,1,17.00,0.78,0.00,19.72,34.60,0,0.00,20.00,1,2.80,30.20,10.50,-3.20,3.30,4.00,15.60,231.50,233.10,232.50,14.70,19.50,13.10
 04:04:00  09/08/2019,2.39,68.06,64.61,1,65.33,34,22.28,-3.72,-27.22,3,57,57,28.83,1.72,79.39,-29.00,33.71,0,10.61,13.67,31.89,34,21.50,2,11.90,1,62.17,41.67,54.94,1,65.00,22.44,33.10,23.78,4,0,0,3837,3836,14.27,98852,0,50011,26570,0,0,-4.00,0,3836,1,0,0,0,0,36.18,2.94,2.39,65.00,0,29,-4.00,29,4.78,1.28,68.56,65.07,-3.83,1,35.52,30.01,-0.61,9.30,37.90,5.90,444,13.90,8.10,15.10,15.30,121.80,86.20,45.00,1882,156,216.00,13.60,98,14457,361.40,10.90,1.00,1.00,0,-0.44,32.85,238.80,9637,134,15.20,134,3698,14487,164,98,0,4838,156,15.70,356.50,1645,67,5.80,437,11.00,164,67,8588,18.28,10.00,36.41,0,21.50,3.11,0,10.00,21.28,0,18.11,0,36.31,3.11,20.00,0,0,0.00,25.00,18.39,0.00,21.61,36.90,3.11,10.00,20.00,1,16.72,20.00,10.00,1,17.00,3.11,0.00,19.72,36.90,0,0.00,20.00,1,2.80,30.20,10.50,-3.20,3.30,4.00,15.60,231.50,233.10,232.50,14.70,19.50,13.10
 04:06:00  09/08/2019,2.39,66.33,64.41,1,63.19,26,22.61,-2.00,-27.67,2,64,64,30.33,2.78,79.78,-29.00,33.71,0,10.61,14.50,31.89,26,21.50,2,29.00,1,62.17,41.67,55.83,1,65.00,22.44,20.90,23.78,4,0,0,3837,3836,14.06,98852,0,50011,26570,0,0,-4.00,0,3836,1,1,0,0,0,36.69,3.61,2.39,65.00,0,39,-4.00,29,4.78,2.94,66.67,62.99,-2.06,1,35.52,31.52,-0.61,9.30,37.90,5.90,444,13.90,8.10,15.10,15.30,121.80,86.20,45.00,1882,156,216.00,13.60,98,14457,361.40,10.90,1.00,1.00,0,-0.44,32.85,238.30,9637,134,15.20,134,3698,14487,164,98,0,4838,156,15.70,356.50,1645,67,5.80,437,11.00,164,67,8588,17.89,10.00,36.90,0,21.50,3.61,0,10.00,21.28,0,17.72,0,36.80,3.50,20.00,0,0,0.00,25.00,18.00,0.00,21.61,36.90,3.50,10.00,20.00,1,16.39,20.00,10.00,1,17.00,3.50,0.00,20.00,36.90,0,0.00,20.00,1,2.80,30.20,10.50,-3.20,3.30,4.00,15.60,231.50,233.10,232.50,14.70,19.50,13.10
 04:08:00  09/08/2019,2.39,66.33,64.41,1,63.19,26,22.61,-2.00,-27.67,2,64,64,30.33,2.78,79.78,-29.00,33.71,0,10.61,14.50,31.89,26,21.50,2,29.00,1,62.17,41.67,55.83,1,65.00,22.44,20.90,23.78,4,0,0,3837,3836,14.06,98852,0,50011,26570,0,0,-4.00,0,3836,1,1,0,0,0,36.69,3.61,2.39,65.00,0,39,-4.00,29,4.78,2.94,66.67,62.99,-2.06,1,35.52,31.52,-0.61,9.30,37.90,5.90,444,13.90,8.10,15.10,15.30,121.80,86.20,45.00,1882,156,216.00,13.60,98,14457,361.40,10.90,1.00,1.00,0,-0.44,32.85,238.30,9637,134,15.20,134,3698,14487,164,98,0,4838,156,15.70,356.50,1645,67,5.80,437,11.00,164,67,8588,17.89,10.00,36.90,0,21.50,3.61,0,10.00,21.28,0,17.72,0,36.80,3.50,20.00,0,0,0.00,25.00,18.00,0.00,21.61,36.90,3.50,10.00,20.00,1,16.39,20.00,10.00,1,17.00,3.50,0.00,20.00,36.90,0,0.00,20.00,1,2.80,30.20,10.50,-3.20,3.30,4.00,15.60,231.50,233.10,232.50,14.70,19.50,13.10
 04:10:00  09/08/2019,2.39,65.06,64.30,1,67.21,40,24.22,-3.67,-28.89,2,63,63,32.22,3.39,82.00,-29.00,33.71,0,12.22,14.94,32.44,40,21.50,2,30.10,1,61.61,41.67,55.11,1,65.00,24.22,36.90,23.78,4,0,0,3837,3836,13.47,98852,0,50011,26570,0,0,-4.00,0,3836,1,0,0,0,0,35.72,2.67,2.39,65.00,0,45,-4.00,50,5.33,1.33,64.28,67.17,-3.61,1,35.52,30.06,-0.61,9.30,37.90,5.90,444,13.90,8.10,15.10,15.30,121.80,86.20,45.00,1882,156,216.00,13.60,98,14457,360.90,10.90,1.00,1.00,0,-0.44,32.85,238.30,9637,134,15.20,134,3698,14487,164,98,0,4838,156,15.70,356.50,1645,67,5.80,437,11.00,164,67,8588,18.50,10.00,35.91,0,21.11,2.61,0,10.00,21.28,0,18.61,0,35.82,2.50,20.00,0,0,0.00,25.00,18.78,0.00,21.61,36.30,2.50,10.00,20.00,1,17.28,20.00,10.00,1,17.00,2.50,0.00,20.00,36.30,0,0.00,20.00,1,2.80,30.20,10.50,-3.20,3.30,4.00,15.60,231.50,233.10,232.50,14.70,19.50,13.10
